BULAN,DEPO,TARGET,OMSET,TARGET AR,REALISASI
Jan,JEPARA," 1,745,000,000 "," 742,156,604 "," 1,404,091,258 "," 1,507,927,324 "
Jan,PEMALANG," 850,000,000 "," 391,324,959 "," 471,961,813 "," 329,496,319 "
Jan,PURWOKERTO," 820,000,000 "," 393,378,691 "," 546,232,528 "," 359,185,890 "
Jan,SEMARANG," 1,680,000,000 "," 507,297,981 "," 806,755,645 "," 619,012,425 "
Jan,SOLO," 940,000,000 "," 516,676,221 "," 514,561,453 "," 470,046,640 "
Jan,YOGYAKARTA," 1,735,000,000 "," 630,617,410 "," 1,090,429,578 "," 606,672,905 "
Feb,JEPARA," 1,687,891,000 "," 810,604,693 "," 1,162,679,529 "," 779,729,839 "
Feb,PEMALANG," 822,187,000 "," 303,573,888 "," 514,844,454 "," 362,329,785 "
Feb,PURWOKERTO," 793,162,000 "," 293,197,764 "," 490,851,865 "," 303,267,473 "
Feb,SEMARANG," 1,625,019,000 "," 472,378,377 "," 766,277,540 "," 638,514,784 "
Feb,SOLO," 909,234,000 "," 454,078,197 "," 403,913,695 "," 399,477,479 "
Feb,YOGYAKARTA," 1,678,219,000 "," 478,263,124 "," 924,628,979 "," 477,159,140 "
Mar,JEPARA," 1,269,087,000 "," 701,783,151 "," 1,181,280,436 "," 729,037,424 "
Mar,PEMALANG," 618,182,000 "," 233,736,799 "," 488,895,351 "," 297,469,052 "
Mar,PURWOKERTO," 596,362,000 "," 189,486,570 "," 576,053,863 "," 278,544,106 "
Mar,SEMARANG," 1,221,819,000 "," 330,237,482 "," 601,372,996 "," 332,374,384 "
Mar,SOLO," 683,634,000 "," 338,511,194 "," 514,764,751 "," 350,830,337 "
Mar,YOGYAKARTA," 1,261,818,000 "," 360,432,907 "," 990,505,670 "," 408,657,488 "
Apr,JEPARA," 1,687,891,000 "," 570,481,000 "," 1,359,926,016 "," 990,405,267 "
Apr,PEMALANG," 822,187,000 "," 253,905,721 "," 552,273,425 "," 392,654,337 "
Apr,PURWOKERTO," 793,162,000 "," 313,602,794 "," 539,012,638 "," 356,618,349 "
Apr,SEMARANG," 1,625,019,000 "," 409,970,457 "," 771,101,793 "," 588,108,492 "
Apr,SOLO," 909,234,000 "," 320,004,922 "," 602,485,575 "," 465,015,087 "
Apr,YOGYAKARTA," 1,678,219,000 "," 232,869,714 "," 1,100,489,470 "," 578,138,786 "
May,JEPARA," 1,897,289,000 "," 524,232,185 "," 940,131,871 "," 634,547,266 "
May,PEMALANG," 924,182,000 "," 187,220,988 "," 403,749,252 "," 273,875,172 "
May,PURWOKERTO," 891,563,000 "," 232,507,549 "," 447,238,077 "," 292,874,516 "
May,SEMARANG," 1,826,622,000 "," 479,197,542 "," 497,132,988 "," 377,296,491 "
May,SOLO," 1,022,048,000 "," 321,450,322 "," 429,291,858 "," 303,486,076 "
May,YOGYAKARTA," 1,886,421,000 "," 357,163,094 "," 802,531,852 "," 391,403,565 "
